PLAYER,NO.,POS,WEIGHT,BIRTHDATE,AGE,COUNTRY
Kevin Love,#0,F-C,251 lbs,7-Sep-88,29,UCLA
Derrick Rose,#1,G,190 lbs,4-Oct-88,29,Memphis
Isaiah Thomas,#3,G,185 lbs,7-Feb-89,28,Washington
Iman Shumpert,#4,G,220 lbs,26-Jun-90,27,Georgia Tech
JR Smith,#5,G-F,225 lbs,9-Sep-85,32,St. Benedict's Prep (NJ)
Channing Frye,#8,F,255 lbs,17-May-83,34,Arizona
Dwyane Wade,#9,G,220 lbs,17-Jan-82,35,Marquette
John Holland,#10,G-F,205 lbs,6-Nov-88,29,Boston U.
Tristan Thompson,#13,C-F,238 lbs,13-Mar-91,26,Texas
London Perrantes,#15,G,190 lbs,3-Oct-94,23,Virginia
Cedi Osman,#16,F,215 lbs,8-Apr-95,22,Anadolu Efes
LeBron James,#23,F-G,250 lbs,30-Dec-84,32,St. Vincent-St. Mary HS (OH)
Kyle Korver,#26,G,212 lbs,17-Mar-81,36,Creighton
Jeff Green,#32,F,235 lbs,28-Aug-86,31,Georgetown
Ante Zizic,#41,F-C,250 lbs,4-Jan-97,20,
Jose Calderon,#81,G,200 lbs,28-Sep-81,36,"Villanueva de la Serena, Spain"
Jae Crowder,#99,F,235 lbs,6-Jul-90,27,Marquette
